gene_id,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells
PA14_20760,15,0.00026620202313537583,0.0002661665976635639,99.98184986205895,22.0,3.1354942159291497,4
PA14_20810,53,0.0007139054256812352,0.0007136507164211659,99.9358695126083,59.0,4.0943445622221,3
PA14_20890,29,0.0005203039543100528,0.0005201686431408739,99.96490973331397,43.0,3.784189633918261,4
PA14_21230,85,0.0013431102076375781,0.0013422090419422947,99.89714921833406,111.0,4.718498871295094,6
PA14_21370,54,0.0010043076327380088,0.001003803653232838,99.93465950341222,83.0,4.430816798843313,4
PA14_21760,12,0.00020570156333188133,0.00020568040966614776,99.98547988964717,17.0,2.8903717578961645,5
PA14_21790,45,0.0007139054256812352,0.0007136507164211659,99.94554958617685,59.0,4.0943445622221,4
PA14_21820,29,0.0005082038623493539,0.0005080747705012992,99.96490973331397,42.0,3.7612001156935624,3
PA14_21880,138,0.0020207153574367167,0.0020186764583865497,99.83301873094236,167.0,5.123963979403259,6
PA14_22020,19,0.0002783021150960747,0.0002782633962459666,99.97700982527468,23.0,3.1780538303479458,3
PA14_22270,21,0.0003388025748995692,0.00033874519426729474,99.97458980688253,28.0,3.367295829986474,5
PA14_22690,85,0.0012947098397947823,0.0012938724257377,99.89714921833406,107.0,4.68213122712422,3
PA14_23260,77,0.0011495087362663955,0.0011488485569718298,99.90682929190262,95.0,4.564348191467836,5
PA14_23280,84,0.0014036106674410725,0.0014026265267807797,99.89835922753014,116.0,4.762173934797756,4
PA14_23320,53,0.000738105609602633,0.0007378333436229634,99.9358695126083,61.0,4.127134385045092,3
PA14_23330,1330,0.022494070954939258,0.022244810340931426,98.39068776922704,1859.0,7.528331766707247,116
PA14_23360,23,0.0003751028507816659,0.0003750325172949782,99.97216978849039,31.0,3.4657359027997265,4
PA14_23370,44,0.0006897052417598374,0.0006894675044057676,99.94675959537292,57.0,4.060443010546419,7
PA14_23380,76,0.0011011083684236,0.001100502593246059,99.90803930109868,91.0,4.5217885770490405,4
PA14_23410,14,0.00021780165529258023,0.00021777793995548676,99.98305987125502,18.0,2.9444389791664403,3
PA14_23420,100,0.0015004114031266637,0.0014992869105977633,99.87899908039302,124.0,4.8283137373023015,17
PA14_23430,79,0.0011979091041091911,0.001197192183478387,99.90440927351048,99.0,4.605170185988092,11
PA14_23440,45,0.0007018053337205362,0.0007015591835169346,99.94554958617685,58.0,4.07753744390572,5
PA14_23450,17,0.0002904022070567736,0.0002903600484976035,99.97942984366681,24.0,3.2188758248682006,5
PA14_23460,50,0.0008954068050917187,0.0008950061675562969,99.93949954019651,74.0,4.31748811353631,7
PA14_23470,13,0.00025410193117467693,0.00025406965274685504,99.9842698804511,21.0,3.091042453358316,3
PA14_23560,25,0.00039930303470306377,0.00039922333446196185,99.96974977009825,33.0,3.5263605246161616,6
PA14_23800,34,0.0005324040462707517,0.0005322623695204619,99.95885968733363,44.0,3.8066624897703196,3
PA14_23830,128,0.00209331590920091,0.0020911279762775414,99.84511882290306,173.0,5.159055299214529,7
PA14_23920,238,0.003448526208799187,0.00344259367737386,99.71201781133536,285.0,5.655991810819852,10
PA14_24270,106,0.0016698126905764484,0.0016684201033899556,99.87173902521658,138.0,4.9344739331306915,3
PA14_24290,73,0.0011979091041091911,0.001197192183478387,99.9116693286869,99.0,4.605170185988092,5
PA14_24300,30,0.0005203039543100528,0.0005201686431408739,99.9636997241179,43.0,3.784189633918261,3
PA14_24445,95,0.0015609118629301582,0.001559694906218431,99.88504912637336,129.0,4.867534450455582,10
PA14_24880,25,0.0003751028507816659,0.0003750325172949782,99.96974977009825,31.0,3.4657359027997265,4
