gene_id,gene_name,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells
PA14_05060,PA14_05060,128,0.001537504946017749,0.0015363241954065646,99.85529365213951,136.0,4.919980925828125,116
PA14_05070,PA14_05070,59,0.0006670058221694647,0.0006667834726528484,99.93329941778305,59.0,4.0943445622221,53
PA14_05110,PA14_05110,50,0.0006104799050364592,0.0006102936379835724,99.94347408286698,54.0,4.007333185232471,44
PA14_05150,PA14_05150,15,0.00018088293482561754,0.00018086657748004204,99.9830422248601,16.0,2.833213344056216,11
PA14_05160,PA14_05160,27,0.0003052399525182296,0.00030519337628163404,99.96947600474819,27.0,3.332204510175204,25
PA14_05190,PA14_05190,16,0.00018088293482561754,0.00018086657748004204,99.98191170651744,16.0,2.833213344056216,11
PA14_05220,PA14_05220,121,0.001526199762591148,0.0015250363033638443,99.86320728053812,135.0,4.912654885736052,96
PA14_05230,PA14_05230,77,0.0008931094907014866,0.0008927109057226601,99.91295008761517,79.0,4.382026634673881,59
PA14_05250,PA14_05250,110,0.0013453168277655304,0.001344412699883455,99.87564298230738,119.0,4.787491742782046,95
PA14_05260,PA14_05260,14,0.00015827256797241535,0.000158260044190959,99.98417274320276,14.0,2.70805020110221,10
PA14_05300,PA14_05300,95,0.0010852976089537052,0.0010847090992706513,99.8926007574473,96.0,4.574710978503383,83
PA14_05310,PA14_05310,103,0.0012774857272059238,0.0012766704365885333,99.88355661070601,113.0,4.736198448394496,89
PA14_05320,PA14_05320,23,0.0002600192188118252,0.00025998541967357287,99.97399807811883,23.0,3.1780538303479458,20
PA14_05330,PA14_05330,306,0.0035498275959527444,0.003543541829172333,99.65406138714602,314.0,5.752572638825633,269
PA14_05340,PA14_05340,90,0.0011870442597931151,0.0011863402798042903,99.8982533491606,105.0,4.663439094112067,80
PA14_05360,PA14_05360,940,0.011802611497371544,0.011733503913454508,98.93731275789949,1044.0,6.951772164398911,809
PA14_05380,PA14_05380,5,5.6525917133005484e-05,5.652431960355255e-05,99.9943474082867,5.0,1.791759469228055,4
PA14_05390,PA14_05390,723,0.009236334859533096,0.009193940762822947,99.18263523825675,817.0,6.706862336602747,622
PA14_05460,PA14_05460,104,0.0012548753603527218,0.0012540886623375708,99.88242609236335,111.0,4.718498871295094,85
PA14_05510,PA14_05510,195,0.002340172969306427,0.0023374390289747156,99.77954892318128,207.0,5.337538079701318,171
